filename	model_title	model_url	modelstate	contributor	provider	date	OWL_consistent	shex_valid	shex_meta_problem	shex_data_problem	validation_time_milliseconds	axioms	n_rows_gpad	activity units	n complete activity units	n root MF activity units	n root BP process	n root CC locations	n unenabled activity units	n unlocated activity units	n activity units unconnected to a BP	n connected biological processes	n causal relation assertions	n unconnected activities	n activities with no outgoing connections	n activities with no incoming connections	max length of connected causal subgraph	median_depth_MF	median_depth_BP	median_depth_cc
ZFIN_ZDB-GENE-030131-555.ttl	krit1 (ZFIN:ZDB-GENE-030131-555)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-030131-555	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	3953	595	25	13	0	13	0	0	0	13	13	0	0	0	0	13	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-030131-556.ttl	keap1a (ZFIN:ZDB-GENE-030131-556)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-030131-556	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	930	86	2	2	0	2	0	0	0	2	2	0	0	0	0	2	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-060526-319.ttl	cxcl11.8 (ZFIN:ZDB-GENE-060526-319)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-060526-319	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	1057	53	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-070912-368.ttl	si:dkey-127k13.1 (ZFIN:ZDB-GENE-070912-368)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070912-368	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	1125	71	3	1	0	1	1	0	0	1	0	1	0	1	1	1	0	0.0	0.0	NaN
ZFIN_ZDB-GENE-031212-1.ttl	gpc3 (ZFIN:ZDB-GENE-031212-1)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-031212-1	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	1205	84	2	2	0	2	0	0	0	2	2	0	0	0	0	2	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-070117-2044.ttl	esa (ZFIN:ZDB-GENE-070117-2044)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070117-2044	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	900	55	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-081016-1.ttl	appl1 (ZFIN:ZDB-GENE-081016-1)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-081016-1	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	916	77	3	1	0	0	0	0	0	1	1	0	0	1	1	1	0	2.0	NaN	NaN
ZFIN_ZDB-GENE-070117-2045.ttl	eso (ZFIN:ZDB-GENE-070117-2045)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070117-2045	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	807	55	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-030131-5576.ttl	taf1 (ZFIN:ZDB-GENE-030131-5576)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-030131-5576	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	1002	114	4	2	0	2	0	0	0	2	2	0	0	0	0	2	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-070117-2042.ttl	ent (ZFIN:ZDB-GENE-070117-2042)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070117-2042	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	989	86	2	2	0	2	0	0	0	2	2	0	0	0	0	2	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-050513-1.ttl	sema3fa (ZFIN:ZDB-GENE-050513-1)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-050513-1	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	827	72	2	2	0	1	0	0	0	2	2	0	0	1	1	2	1	2.0	NaN	NaN
ZFIN_ZDB-GENE-070117-2040.ttl	enz (ZFIN:ZDB-GENE-070117-2040)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070117-2040	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	899	97	4	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-050513-3.ttl	sema3ga (ZFIN:ZDB-GENE-050513-3)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-050513-3	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	856	55	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-030131-5577.ttl	bmb (ZFIN:ZDB-GENE-030131-5577)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-030131-5577	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	847	86	2	2	0	2	0	0	0	2	2	0	0	0	0	2	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-070117-2041.ttl	end (ZFIN:ZDB-GENE-070117-2041)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070117-2041	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	799	86	2	2	0	2	0	0	0	2	2	0	0	0	0	2	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-050513-2.ttl	sema3fb (ZFIN:ZDB-GENE-050513-2)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-050513-2	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	765	40	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	4.0	NaN	NaN
ZFIN_ZDB-GENE-050522-112.ttl	wbp1lb (ZFIN:ZDB-GENE-050522-112)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-050522-112	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	846	70	3	2	0	2	1	0	0	2	1	0	0	2	2	2	0	0.0	0.0	NaN
ZFIN_ZDB-GENE-050513-5.ttl	sema3c (ZFIN:ZDB-GENE-050513-5)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-050513-5	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	887	72	2	2	0	1	0	0	0	2	2	0	0	1	1	2	1	2.0	NaN	NaN
ZFIN_ZDB-GENE-030131-5579.ttl	rgs14a (ZFIN:ZDB-GENE-030131-5579)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-030131-5579	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	610	55	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-050513-4.ttl	sema3gb (ZFIN:ZDB-GENE-050513-4)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-050513-4	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	807	69	2	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-081016-2.ttl	appl2 (ZFIN:ZDB-GENE-081016-2)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-081016-2	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	839	60	2	1	0	0	0	0	0	1	1	0	0	1	1	1	0	2.0	NaN	NaN
ZFIN_ZDB-GENE-070117-2049.ttl	fad (ZFIN:ZDB-GENE-070117-2049)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070117-2049	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	1454	266	10	6	0	6	0	0	0	6	6	0	0	0	0	6	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-050522-119.ttl	zgc:110006 (ZFIN:ZDB-GENE-050522-119)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-050522-119	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	799	58	2	1	0	1	0	0	0	1	1	0	0	1	1	1	0	0.0	NaN	NaN
ZFIN_ZDB-TRNAG-011205-28.ttl	mt-ty (ZFIN:ZDB-TRNAG-011205-28)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-TRNAG-011205-28	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	916	88	4	2	0	1	1	0	0	2	1	1	0	2	2	2	0	4.0	0.0	NaN
ZFIN_ZDB-GENE-080521-3.ttl	kmt2a (ZFIN:ZDB-GENE-080521-3)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-080521-3	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	1182	207	7	5	0	5	0	0	0	5	5	0	0	0	0	5	1	0.0	NaN	NaN
ZFIN_ZDB-TRNAG-011205-29.ttl	mt-ts1 (ZFIN:ZDB-TRNAG-011205-29)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-TRNAG-011205-29	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	912	88	4	2	0	1	1	0	0	2	1	0	0	2	2	2	0	4.0	0.0	NaN
ZFIN_ZDB-GENE-070821-4.ttl	chrnb1 (ZFIN:ZDB-GENE-070821-4)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070821-4	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	false	false	true	856	89	3	2	0	1	0	0	1	2	2	0	0	1	1	2	1	3.0	NaN	NaN
ZFIN_ZDB-GENE-130502-1.ttl	dner (ZFIN:ZDB-GENE-130502-1)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-130502-1	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	1116	252	12	4	0	4	0	0	0	4	4	0	0	0	0	4	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-030131-542.ttl	cnn2 (ZFIN:ZDB-GENE-030131-542)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-030131-542	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	1025	113	3	3	0	3	0	0	0	3	3	0	0	0	0	3	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-050909-1.ttl	il10rb (ZFIN:ZDB-GENE-050909-1)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-050909-1	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	953	120	7	2	0	1	0	0	0	2	2	0	0	1	1	2	1	3.0	NaN	NaN
ZFIN_ZDB-GENE-070912-357.ttl	si:dkey-11f4.16 (ZFIN:ZDB-GENE-070912-357)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070912-357	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	716	41	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	2.0	NaN	NaN
ZFIN_ZDB-GENE-070117-2055.ttl	fam (ZFIN:ZDB-GENE-070117-2055)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070117-2055	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	753	55	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-070117-2053.ttl	fal (ZFIN:ZDB-GENE-070117-2053)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070117-2053	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	806	86	2	2	0	2	0	0	0	2	2	0	0	0	0	2	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-070117-2054.ttl	flw (ZFIN:ZDB-GENE-070117-2054)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070117-2054	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	899	117	3	3	0	3	0	0	0	3	3	0	0	0	0	3	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-030131-4257.ttl	trap1 (ZFIN:ZDB-GENE-030131-4257)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-030131-4257	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	715	72	2	2	0	0	0	0	0	2	2	0	0	2	2	2	0	5.0	NaN	NaN
ZFIN_ZDB-GENE-070117-2051.ttl	faa (ZFIN:ZDB-GENE-070117-2051)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070117-2051	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	1015	159	6	3	0	3	0	0	0	3	3	0	0	0	0	3	1	0.0	NaN	NaN
ZFIN_ZDB-GENE-050522-100.ttl	orai1b (ZFIN:ZDB-GENE-050522-100)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-050522-100	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	644	55	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0.0	NaN	NaN
ZFIN_ZDB-TRNAG-011205-21.ttl	mt-ti (ZFIN:ZDB-TRNAG-011205-21)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-TRNAG-011205-21	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	953	88	4	2	0	1	1	0	0	2	1	0	0	2	2	2	0	4.0	0.0	NaN
ZFIN_ZDB-TRNAG-011205-22.ttl	mt-tq (ZFIN:ZDB-TRNAG-011205-22)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-TRNAG-011205-22	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	875	88	4	2	0	1	1	0	0	2	1	1	0	2	2	2	0	4.0	0.0	NaN
ZFIN_ZDB-TRNAG-011205-23.ttl	mt-tm (ZFIN:ZDB-TRNAG-011205-23)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-TRNAG-011205-23	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	893	88	4	2	0	1	1	0	0	2	1	1	0	2	2	2	0	4.0	0.0	NaN
ZFIN_ZDB-GENE-070117-2059.ttl	fet (ZFIN:ZDB-GENE-070117-2059)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-GENE-070117-2059	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	644	55	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0.0	NaN	NaN
ZFIN_ZDB-TRNAG-011205-24.ttl	mt-tw (ZFIN:ZDB-TRNAG-011205-24)	http://noctua.geneontology.org/editor/graph/gomodel:ZFIN_ZDB-TRNAG-011205-24	development	[GOC:zfin_curators]	[http://zfin.org]	2021-07-23	true	true	false	false	719	88	4	2	0	1	1	0	0	2	1	1	0	2	2	2	0	4.0	0.0	NaN
